step,ep,score(50),best,loss,eps
150000,2509,0.56,5,0.24610707939602436,0.01
152000,2519,0.68,5,0.3521454420313239,0.01
154000,2528,0.76,5,0.42868186078965664,0.01
156000,2539,0.72,5,0.4597945687454194,0.01
158000,2548,0.72,5,0.5418147845007479,0.01
160000,2558,0.76,6,0.5138983712531626,0.01
162000,2564,0.9,6,0.458908273531124,0.01
164000,2569,1.1,10,0.5332381909154356,0.01
166000,2574,1.3,10,0.5529519719164818,0.01
168000,2580,1.38,10,0.6076866772957146,0.01
170000,2583,1.68,10,0.7310805367492139,0.01
172000,2585,1.88,10,0.765318943709135,0.01
174000,2586,2.02,10,0.5781491075456142,0.01
176000,2588,2.56,17,0.9617786641418934,0.01
178000,2589,3.04,24,0.7144340505450963,0.01
180000,2590,3.12,24,0.9778464712388814,0.01
182000,2593,3.44,24,0.7568087834306061,0.01
184000,2594,3.62,24,0.578014125470072,0.01
186000,2597,4.22,24,0.8659510875493288,0.01
188000,2600,4.36,24,0.7065891502425075,0.01
190000,2604,4.38,24,0.7963605254329741,0.01
192000,2607,4.88,24,0.8627384227886796,0.01
194000,2609,5.02,24,0.6583380667865276,0.01
196000,2615,5.02,24,1.2115420451015233,0.01
198000,2621,5.14,24,0.938710215082392,0.01
200000,2622,5.3,24,0.6015234258025884,0.01
202000,2624,5.4,24,0.714738111263141,0.01
204000,2627,5.74,24,0.7154646496847272,0.01
206000,2631,5.94,24,0.7903714812174439,0.01
208000,2632,5.84,24,0.7338982759509236,0.01
210000,2633,6.2,24,0.8915025191567838,0.01
212000,2635,6.5,24,0.8227494238689542,0.01
214000,2636,6.38,24,0.5850858185812831,0.01
216000,2638,6.38,24,0.5911747983563691,0.01
218000,2638,6.38,24,0.718457498382777,0.01
220000,2640,6.38,28,0.5724439026322216,0.01
222000,2641,6.48,28,0.583134469455108,0.01
224000,2646,6.14,28,0.5771352971158922,0.01
226000,2650,6.0,28,0.599468942489475,0.01
228000,2655,5.8,28,0.6729770861193538,0.01
230000,2657,5.8,28,0.6724230163730681,0.01
