model,agent_type,use_per,checkpoint,environment,description,avg_score,std_score,avg_survival_steps,std_survival_steps,avg_survival_seconds,std_survival_seconds,generalization_gap,gap_interpretation
Double DQN + PER,ddqn,True,flappy_dynamic_ddqn_per.pth,fixed_slow_wide,"Fixed: speed=0.75x, gap=260 px, easiest",26.44,23.8645497484004,3850.3,3393.961493954959,64.17166666666668,56.56602489924932,-13.020000000000001,better than dynamic baseline
Double DQN + PER,ddqn,True,flappy_dynamic_ddqn_per.pth,fixed_slow_narrow,"Fixed: speed=0.75x, gap=140 px",2.12,2.41289055208199,478.32,345.2391918537592,7.972,5.753986530895986,11.3,worse than dynamic baseline
Double DQN + PER,ddqn,True,flappy_dynamic_ddqn_per.pth,fixed_mid_mid,"Fixed: speed=1.00x, gap=200 px",21.62,34.14309025622751,2416.94,3636.6612822808806,40.282333333333334,60.61102137134801,-8.200000000000001,better than dynamic baseline
Double DQN + PER,ddqn,True,flappy_dynamic_ddqn_per.pth,fixed_fast_wide,"Fixed: speed=1.25x, gap=260 px",97.14,74.72480395779311,8347.68,6375.260956451676,139.12800000000001,106.25434927419461,-83.72,better than dynamic baseline
Double DQN + PER,ddqn,True,flappy_dynamic_ddqn_per.pth,fixed_fast_narrow,"Fixed: speed=1.25x, gap=130 px, hardest",0.44,0.61145527311522,141.18,53.78630809765168,2.3529999999999998,0.8964384682941946,12.98,worse than dynamic baseline
Double DQN + PER,ddqn,True,flappy_dynamic_ddqn_per.pth,fixed_classic,"Fixed: speed=1.00x, gap=140 px, closer to classic Flappy Bird",0.92,1.6268160966270582,228.98,173.35906938714083,3.816333333333334,2.8893178231190135,12.5,worse than dynamic baseline
Dueling DQN,dueling,False,flappy_dynamic_dueling.pth,dynamic_train_dist,"Oscillating speed and gap, same as training distribution",86.16,97.0714779774919,9312.26,10358.040719328405,155.20433333333335,172.63401198880675,0.0,baseline
Dueling DQN,dueling,False,flappy_dynamic_dueling.pth,fixed_slow_wide,"Fixed: speed=0.75x, gap=260 px, easiest",351.0,0.0,50000.0,0.0,833.3333333333335,1.148410484065847e-13,-264.84000000000003,better than dynamic baseline
Dueling DQN,dueling,False,flappy_dynamic_dueling.pth,fixed_slow_narrow,"Fixed: speed=0.75x, gap=140 px",5.46,7.117698550308324,954.56,1012.5223335405336,15.909333333333334,16.87537222567556,80.7,worse than dynamic baseline
Dueling DQN,dueling,False,flappy_dynamic_dueling.pth,fixed_mid_mid,"Fixed: speed=1.00x, gap=200 px",132.82,187.69000604013772,14266.52,20008.916210733732,237.77533333333332,333.48193684556225,-46.66,better than dynamic baseline
Dueling DQN,dueling,False,flappy_dynamic_dueling.pth,fixed_fast_wide,"Fixed: speed=1.25x, gap=260 px",585.0,0.0,50000.0,0.0,833.3333333333335,1.148410484065847e-13,-498.84000000000003,better than dynamic baseline
Dueling DQN,dueling,False,flappy_dynamic_dueling.pth,fixed_fast_narrow,"Fixed: speed=1.25x, gap=130 px, hardest",0.9,0.9948848769417229,176.98,85.14225551081782,2.9496666666666664,1.4190375918469638,85.25999999999999,worse than dynamic baseline
Dueling DQN,dueling,False,flappy_dynamic_dueling.pth,fixed_classic,"Fixed: speed=1.00x, gap=140 px, closer to classic Flappy Bird",4.4,9.967293452864233,587.06,1046.9151459679733,9.784333333333334,17.448585766132886,81.75999999999999,worse than dynamic baseline
Dueling DQN + PER,dueling,True,flappy_dynamic_dueling_per.pth,dynamic_train_dist,"Oscillating speed and gap, same as training distribution",162.14,147.278995274206,17422.46,15700.563462149365,290.37433333333337,261.6760577024894,0.0,baseline
Dueling DQN + PER,dueling,True,flappy_dynamic_dueling_per.pth,fixed_slow_wide,"Fixed: speed=0.75x, gap=260 px, easiest",342.28,44.71544498725428,48763.2,6343.40584820978,812.7200000000001,105.72343080349634,-180.14,better than dynamic baseline
Dueling DQN + PER,dueling,True,flappy_dynamic_dueling_per.pth,fixed_slow_narrow,"Fixed: speed=0.75x, gap=140 px",1.02,1.347560153517066,328.46,193.1250213658267,5.474333333333334,3.218750356097112,161.11999999999998,worse than dynamic baseline
Dueling DQN + PER,dueling,True,flappy_dynamic_dueling_per.pth,fixed_mid_mid,"Fixed: speed=1.00x, gap=200 px",252.56,225.02454832070828,27044.78,23975.854817209718,450.7463333333333,399.5975802868286,-90.42000000000002,better than dynamic baseline
Dueling DQN + PER,dueling,True,flappy_dynamic_dueling_per.pth,fixed_fast_wide,"Fixed: speed=1.25x, gap=260 px",585.0,0.0,50000.0,0.0,833.3333333333335,1.148410484065847e-13,-422.86,better than dynamic baseline
Dueling DQN + PER,dueling,True,flappy_dynamic_dueling_per.pth,fixed_fast_narrow,"Fixed: speed=1.25x, gap=130 px, hardest",1.3,1.5681784571500106,218.02,130.28688752604572,3.6336666666666675,2.1714481254340954,160.83999999999997,worse than dynamic baseline
Dueling DQN + PER,dueling,True,flappy_dynamic_dueling_per.pth,fixed_classic,"Fixed: speed=1.00x, gap=140 px, closer to classic Flappy Bird",72.18,154.9601252198877,7820.24,16510.03301466433,130.3373333333333,275.16721691107216,89.95999999999998,worse than dynamic baseline
