step,ep,score(50),best,loss,eps
156000,2514,1.76,16,0.5588616922870279,0.01
158000,2519,1.98,16,0.604825472291559,0.01
160000,2527,2.02,16,0.5632622345536947,0.01
162000,2534,2.1,16,0.7422313195466995,0.01
164000,2541,2.12,16,0.5572969596274198,0.01
166000,2549,2.02,16,0.6708355798944831,0.01
168000,2554,1.72,16,0.6594566695578397,0.01
170000,2562,1.82,16,0.7256192267499864,0.01
172000,2566,1.64,16,0.557224120143801,0.01
174000,2569,1.82,16,0.5913196578808129,0.01
176000,2575,1.94,16,0.6310369648970664,0.01
178000,2578,2.04,16,0.8838395823910833,0.01
180000,2578,2.04,16,0.9810519560985267,0.01
182000,2582,2.84,37,0.8217155249789357,0.01
184000,2584,2.92,37,0.8722184174694121,0.01
186000,2589,3.12,37,1.0437199109233917,0.01
188000,2592,3.28,37,0.8841001819074154,0.01
190000,2595,3.52,37,0.8064441171474754,0.01
192000,2600,3.66,37,0.8690563753433526,0.01
194000,2603,3.78,37,0.8115379882417619,0.01
196000,2608,3.92,37,0.8127912255562841,0.01
198000,2614,3.94,37,0.7394177602231502,0.01
200000,2618,3.92,37,0.5604955039266497,0.01
202000,2625,3.7,37,1.0616365077346563,0.01
204000,2634,2.7,37,0.9166289899498224,0.01
206000,2642,2.26,37,0.8470158608444035,0.01
208000,2651,1.7,37,0.8624391852784902,0.01
210000,2666,0.98,37,0.845646606432274,0.01
212000,2673,1.04,37,0.887651945836842,0.01
214000,2680,1.1,37,0.9824860908463597,0.01
216000,2686,1.2,37,0.8051457502320409,0.01
218000,2690,1.24,37,1.2096190503425897,0.01
220000,2695,1.56,37,1.0183597006835043,0.01
222000,2696,1.7,37,1.0237480579409748,0.01
224000,2697,2.12,37,0.9204881566017866,0.01
226000,2700,2.54,37,0.814580828230828,0.01
228000,2705,2.68,37,0.6249898302741349,0.01
230000,2709,2.86,37,1.1269631364103407,0.01
232000,2714,3.08,37,0.7838087094482035,0.01
234000,2717,3.36,37,1.0589896460343153,0.01
236000,2723,3.46,37,0.9360039716446772,0.01
238000,2725,3.58,37,0.8086268824338912,0.01
240000,2727,4.02,37,1.3473531673382968,0.01
242000,2731,4.14,37,1.1116345550119877,0.01
244000,2737,4.1,37,0.9146721420437097,0.01
246000,2741,4.06,37,1.224330828571692,0.01
248000,2743,4.4,37,1.1430181540455668,0.01
250000,2751,3.3,37,1.4750128369778395,0.01
252000,2759,3.08,37,1.3356108912732452,0.01
254000,2765,2.94,37,1.4171532433945686,0.01
256000,2771,2.84,37,1.4310924651101231,0.01
258000,2774,2.86,37,1.6205906343553216,0.01
260000,2777,2.7,37,1.1479874099884182,0.01
262000,2780,2.82,37,1.2926964199356734,0.01
264000,2784,2.88,37,1.283847620394081,0.01
266000,2784,2.88,37,2.1042947410419583,0.01
268000,2784,2.88,37,1.055493219839409,0.01
270000,2786,4.0,43,1.4382006721571088,0.01
272000,2788,4.08,43,1.427787159550935,0.01
274000,2791,4.22,43,1.4681928862910718,0.01
276000,2795,4.06,43,1.3423542113695293,0.01
278000,2796,4.28,43,1.0550838312413544,0.01
280000,2798,4.76,43,1.40912351205945,0.01
282000,2799,4.96,43,1.2665193790290505,0.01
284000,2800,5.0,43,1.1946576439216734,0.01
286000,2802,5.44,43,0.9797409553872422,0.01
288000,2807,5.76,43,1.4471770673524589,0.01
290000,2808,5.86,43,1.6016487666033208,0.01
292000,2810,6.24,43,1.635930159408599,0.01
294000,2811,6.38,43,0.7350217186845839,0.01
296000,2812,6.64,43,1.3551035912986844,0.01
298000,2813,7.16,43,1.4793416078481822,0.01
300000,2814,7.32,43,1.270783559065312,0.01
302000,2818,7.58,43,0.9558123796526342,0.01
304000,2819,7.92,43,0.9910607060883194,0.01
306000,2821,8.1,43,1.3077260031644256,0.01
308000,2827,7.8,43,1.0133537158183754,0.01
310000,2828,7.72,43,1.0581722535798326,0.01
312000,2834,7.74,43,0.7227473890222609,0.01
314000,2835,7.18,43,0.685881728855893,0.01
316000,2836,7.4,43,0.6708787786099129,0.01
318000,2836,7.4,43,0.9831728210765869,0.01
320000,2838,7.72,43,0.9168139444850385,0.01
322000,2839,7.84,43,0.7807014613645151,0.01
324000,2843,7.96,43,0.8272828106302768,0.01
326000,2847,7.44,43,0.7336927286209538,0.01
328000,2850,7.28,43,0.6723367505520582,0.01
